Product Name,Price,Color,Product Link,Image Link
Linen-blend suit waistcoat,"Rs.2,299.00",Black,https://www2.hm.com/en_in/productpage.1219945001.html,"https://lp2.hm.com/hmgoepprod?set=source[/74/f2/74f2a6c30980026cbb03b8d67ae6522f7ca5b018.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Tie-detail pleated dress,"Rs.3,999.00",Light dusty turquoise,https://www2.hm.com/en_in/productpage.1222581005.html,"https://lp2.hm.com/hmgoepprod?set=source[/e8/f9/e8f99fd2d80a268a033c741617ed4701ac256385.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen trousers,"Rs.2,299.00",White,https://www2.hm.com/en_in/productpage.1216368001.html,"https://lp2.hm.com/hmgoepprod?set=source[/cb/3c/cb3cc29cc9d03530c88d6ba84b3fe55396c0ef84.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized T-shirt,Rs.999.00,Light beige/Dance Mode,https://www2.hm.com/en_in/productpage.1206236013.html,"https://lp2.hm.com/hmgoepprod?set=source[/69/d7/69d73443497128927784bb82e907e1fe55c6fe61.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Crinkled trousers,"Rs.2,199.00",Navy blue,https://www2.hm.com/en_in/productpage.1184716004.html,"https://lp2.hm.com/hmgoepprod?set=source[/5b/6f/5b6f8171b4e8da58633539976160a9fa9162e68c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized sweatshirt,"Rs.1,499.00",Light greige,https://www2.hm.com/en_in/productpage.0994088022.html,"https://lp2.hm.com/hmgoepprod?set=source[/c2/09/c20955f46d8177db31335b8c713396c98c3a4a70.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Single-breasted blazer,"Rs.2,999.00",Grey marl,https://www2.hm.com/en_in/productpage.1221955002.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/ed/daed9b223070525288494c280b00f1ba6dbb0823.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Broderie anglaise shirt dress,"Rs.5,499.00",White,https://www2.hm.com/en_in/productpage.1224596001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8d/31/8d3190cb92d7016f5cdb1da687efa2b9a5b6e338.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Long-sleeved jersey top,"Rs.1,299.00",Black,https://www2.hm.com/en_in/productpage.1113691001.html,"https://lp2.hm.com/hmgoepprod?set=source[/d5/98/d59803c4cdd4cf9081a629bb97f8e65338ebf7ef.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen trousers,"Rs.2,299.00",Black,https://www2.hm.com/en_in/productpage.1216368002.html,"https://lp2.hm.com/hmgoepprod?set=source[/a8/27/a827110670430e03b62d4ff3532df2708ec24780.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
